proporcao_remocao,acc_log_no_lp,precision_log_no_lp,recall_log_no_lp,f1_log_no_lp,acc_xgb_no_lp,precision_xgb_no_lp,recall_xgb_no_lp,f1_xgb_no_lp,acc_chatgpt_zero_no_lp,prec_chatgpt_zero_no_lp,rec_chatgpt_zero_no_lp,f1_chatgpt_zero_no_lp,acc_log_lp,precision_log_lp,recall_log_lp,f1_log_lp,acc_xgb_lp,precision_xgb_lp,recall_xgb_lp,f1_xgb_lp,acc_chatgpt_zero_lp,prec_chatgpt_zero_lp,rec_chatgpt_zero_lp,f1_chatgpt_zero_lp
0.0,0.79375,0.795333444306215,0.79375,0.7932893138445865,0.8618055555555556,0.8630829116123234,0.8618055555555556,0.8615981475600566,0.4979166666666667,0.24792100694444447,0.4979166666666667,0.3310210941121929,0.79375,0.795333444306215,0.79375,0.7932893138445865,0.8618055555555556,0.8630829116123234,0.8618055555555556,0.8615981475600566,0.4979166666666667,0.24792100694444447,0.4979166666666667,0.3310210941121929
0.25,0.8034722222222223,0.8056750365711751,0.8034722222222223,0.8029218399051031,0.8680555555555556,0.8689691154616527,0.8680555555555556,0.867905363401934,0.4976851851851852,0.24769054355281206,0.4976851851851852,0.33076449710916483,0.7951388888888888,0.8026176411384749,0.7951388888888888,0.7934932919255263,0.8645833333333334,0.869487132385445,0.8645833333333334,0.8639747948192746,0.5216049382716049,0.2720717116293248,0.5216049382716049,0.3576114992612626
0.5,0.7916666666666666,0.7947619047619049,0.7916666666666666,0.7908633014022904,0.85,0.8513986013986015,0.85,0.8497493734335839,0.4996527777777778,0.24965289834104937,0.4996527777777778,0.3329476023256412,0.7701388888888889,0.7961540786492659,0.7701388888888889,0.7641746451741047,0.8166666666666667,0.8285760434164622,0.8166666666666667,0.8146100266574943,0.5649154589371981,0.31912947574622513,0.5649154589371981,0.407855228119428
0.75,0.7708333333333334,0.7729140624999999,0.7708333333333334,0.770139109482378,0.8361111111111111,0.8370013858293776,0.8361111111111111,0.8359083786904173,0.50625,0.2562890625,0.50625,0.3403008298755187,0.6909722222222222,0.7245732128287203,0.6909722222222222,0.6772144395761832,0.7479166666666667,0.7735968054933571,0.7479166666666667,0.7408958992324017,0.6594827586206896,0.43491750891795483,0.6594827586206896,0.5241603224361846
0.85,0.7645833333333333,0.7672302386582014,0.7645833333333333,0.7636960423068928,0.8131944444444444,0.8135783827057518,0.8131944444444444,0.8130557920459702,0.5104166666666666,0.2605251736111111,0.5104166666666666,0.3449712643678161,0.6388888888888888,0.7542424242424242,0.6388888888888888,0.589080459770115,0.6979166666666666,0.7436046143081099,0.6979166666666666,0.68123348825613,0.7354596622889306,0.5409009148541478,0.7354596622889306,0.6233517570102936
0.0,0.8034722222222223,0.8048870358665176,0.8034722222222223,0.8030843317594207,0.88125,0.8821593162002253,0.88125,0.8811205147740518,0.4979166666666667,0.24792100694444447,0.4979166666666667,0.3310210941121929,0.8034722222222223,0.8048870358665176,0.8034722222222223,0.8030843317594207,0.88125,0.8821593162002253,0.88125,0.8811205147740518
0.25,0.8034722222222223,0.8058235984007571,0.8034722222222223,0.802892055254741,0.8618055555555556,0.8633355126852529,0.8618055555555556,0.8615665532547072,0.4976851851851852,0.24769054355281206,0.4976851851851852,0.33076449710916483,0.7965277777777777,0.8046083302876642,0.7965277777777777,0.7947885379746579,0.8631944444444445,0.8683187049129077,0.8631944444444445,0.8625535165302706
0.5,0.7944444444444444,0.7983076386868869,0.7944444444444444,0.7935011722855525,0.8493055555555555,0.8501988662250217,0.8493055555555555,0.8491266559111261,0.4996527777777778,0.24965289834104937,0.4996527777777778,0.3329476023256412,0.7694444444444445,0.7945820601267358,0.7694444444444445,0.7636224753208961,0.8013888888888889,0.8113088348765432,0.8013888888888889,0.7993931479789818
0.75,0.7791666666666667,0.7814775365661082,0.7791666666666667,0.7784629139213971,0.83125,0.8314067455294247,0.83125,0.8311834530307939,0.50625,0.2562890625,0.50625,0.3403008298755187,0.6875,0.721281512605042,0.6875,0.6732913144855728,0.7326388888888888,0.760135159863475,0.7326388888888888,0.7242547053669262
0.85,0.7694444444444445,0.7722339800117579,0.7694444444444445,0.7685553868852014,0.8138888888888889,0.8155613860255572,0.8138888888888889,0.813485552115583,0.5104166666666666,0.2605251736111111,0.5104166666666666,0.3449712643678161,0.6409722222222223,0.7669952516655804,0.6409722222222223,0.5893865543125402,0.7020833333333333,0.7511469809811042,0.7020833333333333,0.6849878224915024
